Zn %,Fe%,Cu %,Mn %,B %,S %,N,P,K,temperature,humidity,ph,rainfall,label
23.79,39.56,99.39,92.65,58.3,43.52,69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
46.29,23.54,99.38,98.08,75.63,58.6,96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
27.24,28.1,96.28,92.24,80.66,28.07,61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
80.35,55.15,99.98,99.58,76.1,64.32,74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
34.09,45.02,96.75,92.77,61.39,40.65,74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
22.3,28,98.6,94.27,87.53,23.01,63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
59.06,68.61,99.62,97.38,54.25,16.3,99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize
53.25,53.48,94.56,91.08,74.57,39.12,77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
50.44,9.05,98.12,94.41,37.09,10.38,87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
70.47,60.66,98.55,90.92,56.45,61.83,60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
41.42,32.68,99.8,98.37,35.87,9.62,94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
16.32,6.76,98.86,90.73,69.6,19.3,95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
63.63,43.8,96.26,87.38,35.31,72.09,84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
67.71,77.28,99.95,98.67,43.33,42.09,77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
68.52,34.77,99.35,90.18,37.96,69.8,66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize
26.05,28.75,98.43,95.89,49.82,12.17,63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
60.86,85.76,99.98,99.88,29.93,45.1,79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize
51.9,50.26,82.01,96.97,45.24,17.72,72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize
46.57,19.8,96.17,64.96,49.78,35.41,67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
81.35,71.76,99.91,99.03,30.76,57.27,86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
80.2,97.37,98.72,99.76,73.08,84.61,76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
54.88,54.98,95.81,87.42,76.54,70.21,75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
38.63,40.48,92.32,59.13,67.24,55.89,81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize
66.35,97.89,97.77,99,34.02,43.65,73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize
35.88,11.51,93.06,53.14,41.05,35.56,71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
88.76,97.09,99.75,98.86,19.88,85.23,96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
16.63,5.98,96.9,82.21,42.74,30.55,99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
23.71,17.1,99.86,98.61,86.48,17.59,62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
38.44,46.54,99.07,94.6,56.17,53.81,86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
68.72,92.82,82.56,93.85,72.31,41.54,94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
25,100,75,100,100,75,76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
0,100,33.33,100,100,33.33,77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
57.31,96.44,66.8,96.44,25.69,47.83,74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
51.55,98.97,88.66,98.97,53.61,24.74,81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
,,,,,,63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize
,,,,,,99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
82.72,98.95,80.63,99.48,58.64,65.97,90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
38.33,100,71.67,100,75,36.67,68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
,,,,,100,60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize
,,,,,100,71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize
71.91,81.65,90.68,57.9,87.5,23.53,61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
,,,,,100,88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize
64,93.94,89.16,80.59,50,0,65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize
0,0,0,0,0,0,78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
,,,,,,78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize
61.29,98.16,87.88,61.9,100,100,92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
,,,,,100,79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
84.48,77.59,87.93,96.55,77.59,45.16,91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize
51.34,96.68,78.63,59,100,0,76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
,,,,,100,87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
76.92,100,100,100,100,37.5,71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
,,,,,,90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
,,,,,,67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize
100,100,,,100,,60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize
,,,,,,83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
,,,,,,83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
,,,,,100,71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
85.95,100,99.65,91.29,97.12,98.28,61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
27.49,100,80.58,94.5,,99.83,80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
49.16,99.44,76.72,86.18,,94.26,73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
98.63,99.66,99.83,99.32,40,99.32,61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
63.83,100,95.69,95.67,100,100,68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
68.38,99.93,99.86,93.48,0,100,93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
87.9,100,98.19,95.4,100,100,89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize
60.28,99.39,99.09,96.01,100,99.9,76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize
42.52,99.04,65.91,87.52,,89.83,67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
64.77,100,99.87,89.77,98.37,93.06,70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
62.64,100,100,97.34,100,100,90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize
74.64,100,100,100,32.83,75.8,62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize
,,,,,85.71,92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
57.04,,,,56.01,23.39,66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize
61.71,97.82,98.77,95.31,35.17,37.38,63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize
100,80,100,100,80,92.86,70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize
100,,,,,100,61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize
69.46,25,50,0,50.85,0.84,66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize
45.63,100,100,100,4.68,75,74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
92.86,,,,19.35,100,77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize
100,100,100,100,100,100,99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
37.5,0,,,41.87,79.28,74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
66.2,100,100,75,22.02,54.21,83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize
80.97,100,100,100,48.45,42.22,100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
30.92,0,,,71.35,29.88,79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
55.98,54.05,90.63,84.38,1.1,44.46,94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
0.08,0,0.08,0.08,0.08,0.9,75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
84.4,0,,,33.54,96.33,78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
6.49,73.17,15.38,15.38,5.59,1.79,87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize
83.69,75,100,100,68.32,96.62,87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
28.78,78.57,100,100,60.83,74.72,63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
,,,,,100,84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
11.39,100,100,100,7.27,1.11,64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize
8.33,7.69,16.67,8.33,16.67,47.62,60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize
63.49,0,100,100,35.31,51.12,98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
8.33,0,0,0,0,0,75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
76.1,97.45,90,90.91,47.68,90.84,86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
67.11,97.56,92.59,83.95,85.4,72.8,98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize
40.83,87.5,100,100,16.7,38.44,76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize
100,100,100,100,50,100,99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
100,100,100,100,0,90.91,60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
86.41,97.99,100,98.32,100,,74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
89.43,93.67,95.18,98.19,0.99,,89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
94.98,84.98,99.16,98.05,0.29,100,69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
74.27,88.91,99.85,45.83,0,82.91,96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
90.36,87.6,99.23,60.37,61.6,88.02,61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
88.98,75.44,97.27,62.65,81.82,93.47,74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
90.06,86.95,98.82,54.94,,95.74,74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
92.56,92.27,99.35,54.64,0,88,63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
80.79,82.83,99.81,54,50,96.69,99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize
80.98,89.77,99.78,46.32,100,74.74,77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
92.26,89.82,99.4,51.8,100,82.77,87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
83.06,90.35,99.55,53.45,0,87.12,60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
89.89,91.37,98.97,64.99,3.8,78.65,94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
88.55,92.5,99.72,33.82,,86.68,95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
85.4,90.82,99.41,54.28,100,76.1,84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
91.44,90.46,99.82,72.66,,88.18,77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
90.89,94.05,99.98,43.64,,87.4,66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize
79.25,84.43,99.32,32.54,,93.97,63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
88.94,96.73,99.95,76.63,100,70.99,79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize
95.27,96.75,99.57,70.49,96.1,87.53,72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize
91.25,91.04,99.88,66.96,0.99,83.34,67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
93.95,95.7,98.96,54.3,100,91.6,86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
80.51,82.81,99.39,56.36,,82.71,76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
90.91,89.5,99.85,60.88,3.29,88.62,75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
85,92.3,99.75,46.06,100,82.79,81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize
59.16,65.75,98.01,91.35,0,79.15,73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize
51.69,43.75,97.71,95.97,,89.65,71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
29.26,40.46,87.08,90.44,,98.42,96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
79.39,81.21,99.41,94.36,,44.11,99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
27.94,25.77,92.8,91.48,,78.67,62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
37.93,78.29,96.47,99.12,,93.84,86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
60.02,52.08,96.66,86.89,,97.61,94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
29.09,6.35,67.84,41.62,,30.83,76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
72.42,61.01,99.45,96.02,,96.36,77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
60.13,37.47,96.4,79.25,,94.78,74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
4.38,0.86,93.82,81.17,,70.73,81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
64.41,64.43,92.27,86.21,,99.39,63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize
50.18,66.87,90.16,95.33,,90.14,99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
49.3,54.91,96.52,78.45,,94.73,90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
40.02,52.93,95.02,96.2,,59.17,68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
63.15,52.65,95.3,85.3,,88.41,60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize
62.67,34.87,90.93,94.12,75,96.61,71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize
1.01,4.36,97.69,99.76,,0.04,61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
41.11,39.04,97.58,91.82,,93.98,88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize
72.53,73.24,99.79,97.78,,86.4,65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize
27.73,36.26,94.05,93.76,,86.11,78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
31.08,25.16,98.69,91.13,,99.23,78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize
44.43,52.21,93.69,94.43,,76.39,92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
81.56,83.86,97.04,90.56,,91.85,79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
21.85,21.17,97.78,95.14,,66.17,91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize
35.77,32.7,98.15,98.92,,92.68,76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
75.46,63.71,91.04,94.14,,95.37,87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
41.53,18.03,89.69,89.65,,99.94,71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
41.22,67.34,97.75,95.24,,88.64,90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
60.16,45.93,94.22,90.71,,99.09,67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize
4.18,1.64,97.26,94.79,,84.67,60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize
66.03,56.71,97.95,93.99,,96.4,83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
61.23,78.35,98.44,99.11,0,89.49,83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
31.51,98.99,73.09,98.87,29.21,99.19,71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
54.41,3.49,96.17,7.01,26.96,0.17,61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
73.02,22.22,99.21,3.97,6.35,1.59,80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
81.58,98.3,92.9,99.43,62.87,98.02,73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
95.15,75.73,99.55,88.3,86.15,55.34,61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
72.71,56.06,98.09,68.17,46.6,50.96,68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
96.69,99.36,99.87,97.82,12.74,20.96,93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
88.13,13.49,94.89,90.48,45.38,50.26,89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize
79.92,49.69,95.2,65.22,19,54.36,76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize
74.77,45.71,97.72,55.37,18.08,17.35,67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
70.66,67.52,99.52,94.93,11.26,98.96,70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
80.52,92.82,97.01,87.85,27.63,77.25,90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize
87.22,22.25,99.88,81.82,87.28,31.53,62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize
98.43,98.24,99.72,98.89,87.35,96.14,92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
68.45,70.98,97.89,81.01,19.57,79.74,66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize
70.48,95.76,89.95,62.3,48.31,89.76,63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize
46.2,49.77,92.6,67.69,5.7,55.22,70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize
42,2.51,99.1,69.55,6.54,13.99,61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize
58.83,59.57,95.71,96.52,65.88,60.43,66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize
28.48,76.54,94.35,90.41,14.38,89.09,74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
81.74,97.86,99.69,94.17,65.56,58.75,77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize
32.34,72.55,68.22,91.59,33.65,56.24,99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
98.9,93,99.9,86.9,99.74,38.51,74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
62.4,67.38,90.73,65.23,34.91,44.96,83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize
33.96,28.28,97.02,49.28,78.35,63.16,100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
62.94,59.6,90.96,10.85,48.4,65.17,79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
57.87,99.09,99.83,89.15,80.76,96.11,94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
94.56,72.01,99.8,93.39,0.46,99.99,75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
61.16,86.4,98.38,98.45,58.43,89.4,78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
89.43,74.75,99.51,65.3,80.83,87.95,87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize
45.72,80.39,96.2,8.97,41.24,68.87,87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
47.33,30.78,93.44,87.7,59.3,78.83,63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
68.68,20.77,96.72,38.38,39.62,68.44,84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
71.24,38.26,99.32,92.89,14.43,43.35,64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize
23.35,32.7,83.04,85.94,56.03,75.5,60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize
73.33,74.63,82.7,77.48,79,80.41,98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
37.05,24.54,85.53,50.05,74.51,69.24,75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
33.18,57.13,92.47,83.62,71.28,91.46,86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
0,0,0,0,0,0,98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize
57.04,59.09,89.39,79.27,59.3,64.26,76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize
31.36,41.6,60.85,57.39,43.01,69.07,99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
21.51,41.63,93.11,89.05,77.77,92.75,60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
56.89,40.57,74.89,45.42,74.5,57.41,74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
58.81,48.48,87.65,63.11,82.58,71.75,89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
72.96,53,96.75,79.88,70.97,69.32,69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
37.79,24.67,82.2,57.16,72.34,83.16,96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
73.21,79.11,97.03,91.66,85.19,93.95,61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
44.39,51.95,89.63,85.13,81.47,89.07,74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
73.95,63.37,94.86,83.08,82.65,85.89,74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
56,76.72,92.31,94.19,79.92,86.97,63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
45,71.49,93.72,97.56,97.6,98.65,99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize
63.64,26.75,91.6,52,96.87,74.36,77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
27.53,49.94,92.8,88.76,74.1,96.45,87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
70.66,59.57,81.64,69.89,72.84,83.13,60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
70.91,60.17,97.09,81.04,67.61,84.4,94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
76.15,68.56,92.91,82.95,82.77,88.94,95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
78.46,73.8,94.22,84.26,86.39,87.6,84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
64.49,52.31,95.62,65.61,89.71,75.14,77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
70.6,57.93,97.36,81.41,77.74,70.69,66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize
74.41,66.91,94.52,89.92,74.89,83.66,63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
77.02,49.29,88.12,73.72,76.72,57.05,79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize
81.6,75.51,99.11,91.85,95.92,95.7,72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize
43.12,57.85,95.88,88.17,85.84,89.99,67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
75.69,55.17,97.6,80.97,75.88,88.43,86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
53.83,54.61,84.07,77.06,80.46,78.02,76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
49.11,52.91,86.53,91.13,63.46,64.37,75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
58.49,64.64,96.1,91.59,73.12,94.98,81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize
58.18,49.33,94.98,69.95,69.37,76.22,73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize
93.4,98.88,99.95,100,100,100,71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
97.24,97.7,100,99.54,0,99.54,96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
46.67,10.67,67.57,56.34,37.33,82.67,99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
78.27,97.53,99.08,97.46,78.85,93.7,62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
72.99,99.68,98.66,99.74,79.82,92.54,86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
78.06,99.22,99.64,97.95,85.18,98.87,94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
72.95,99.46,98.63,98.53,70.43,92.71,76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
85.28,98.71,99.7,98.47,88.18,96.29,77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
82.56,99.07,96.8,96.72,80.82,97.48,74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
78.7,99.64,95.73,99.41,84.11,99.37,81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
84.03,97.09,98.7,97.45,81.97,90.97,63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize
69.19,51.98,91.49,80.82,80.27,83.88,99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
66.72,70.57,98.22,89.27,57.9,78.7,90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
96.7,96.49,99.52,96.81,97.16,77.8,68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
76.45,49.66,92.94,59.99,55.89,59.19,60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize
51.3,22.33,97.56,31.09,70.08,36.35,71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize
72.01,73.7,90.06,82.13,59.69,57.33,61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
90.01,64.8,93.49,95.55,61.48,48.99,88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize
57.91,4.17,70.56,35.32,56.78,75.64,65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize
36,56.23,99.26,96.99,37.29,5.6,78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
67.76,57.52,94.73,73.72,88.09,76.97,78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize
70.67,77.48,96.98,80.08,65.34,46.17,92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
86.73,85.14,99.78,95.95,95.7,27.05,79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
97.02,94,98.63,97.76,54.41,84.91,91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize
64.24,27.19,88.12,44.08,45.89,71.36,76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
55.48,54.13,85.11,79.67,29.38,45.94,87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
49.02,57.65,93.77,53.71,46,60.33,71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
5.01,94.13,99.88,87.94,38.03,26.44,90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
65.4,76.12,94.5,96.62,95.35,59.57,67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize
79.96,64.97,93.86,86.79,64.43,65.72,60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize
51.64,57.93,88.56,56.93,49.34,47.34,83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
59.41,54.6,95.86,65.01,89.74,82.46,83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
21.67,64.7,93.3,89.52,78.24,23.99,71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
67.42,11.32,91.08,69.69,35.08,90.61,61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
